자카사,87,177 
라라차,63,185 
카다사,61,164 
자라타,42,161 
파아다,88,152 
다라카,87,165 
차나다,80,153 
마가자,56,170 
바타차,41,167 
마마하,43,165 
타아하,51,177 
바사차,58,157 
카마가,75,178 
나아나,84,171 
자나자,43,169 
다자다,95,162 
다나타,72,157 
하다마,93,182 
다나아,90,181 
카하다,70,172 
사차아,65,150 
하파차,97,182 
차다사,50,154 
라나바,84,164 
다자라,40,180 
다타자,43,156 
가차마,74,178 
마타마,54,166 
나하마,90,152 
마하사,85,153 
자타사,70,166 
마카카,83,177 
다파나,47,151 
파타다,66,169 
아가차,54,178 
하나타,84,166 
카아아,84,154 
나바마,74,168 
다아마,40,165 
나다타,53,174 
사다아,97,188 
카다나,70,182 
바라파,64,153 
하아마,48,184 
아카카,45,172 
다가나,98,156 
자마아,65,155 
하라사,69,177 
파바사,69,182 
사다파,59,156 
카가자,71,189 
타마가,54,158 
마하다,64,161 
파파파,79,155 
사나하,91,180 
마마차,70,175 
마라사,55,162 
가타아,52,161 
파아아,54,160 
자다가,75,178 
자다다,76,170 
타차마,76,164 
하아타,47,168 
파하마,64,162 
자라마,82,155 
라하라,51,174 
하나라,44,171 
파나카,57,181 
라나나,86,176 
파자하,57,160 
바차바,72,150 
마나사,94,154 
아아가,50,186 
마바타,45,168 
아타나,98,160 
차차라,71,182 
파바바,55,159 
파사사,74,182 
가가아,97,156 
자파하,95,175 
라카자,57,183 
아타하,40,180 
가라바,93,159 
마나아,73,168 
바아다,67,173 
사아카,94,182 
차라바,77,159 
카타다,82,165 
바사파,46,183 
하다아,97,177 
라마파,70,167 
라바사,90,182 
차하다,46,151 
다아바,79,170 
하라가,75,181 
하자바,56,174 
아나라,51,172 
타가라,41,159 
라사하,59,173 
자하타,94,166 
하하카,99,150 
나차차,41,187 
사가마,66,174 
가아라,78,167 
나차다,47,186 
파아아,86,181 
라다가,40,166 
파파카,93,161 
타타하,61,167 
타타파,95,178 
아카차,86,169 
마아다,52,169 
자자아,41,185 
바차라,47,173 
아마마,70,173 
타라마,84,183 
다다차,70,175 
아카하,90,157 
바타카,74,185 
나아라,54,176 
사가가,47,178 
카사다,95,161 
하아다,69,184 
사타카,77,177 
사하타,42,152 
바사파,99,164 
타자나,81,182 
타파마,75,164 
마하라,80,154 
바나다,61,153 
하하아,49,170 
파카차,72,182 
라차타,95,173 
아파마,68,159 
카카하,97,178 
타다하,44,164 
아나하,49,181 
차마파,62,185 
아차타,61,169 
